G 0.8,-4.3,-0.4
M 73,45,-837
A -129,-155,996
G 0.7,-4.4,-0.3
M 61,36,-843
A -131,-155,999
G 0.7,-4.3,-0.4
M 63,48,-835
A -131,-155,1000
G 0.9,-4.2,-0.3
M 70,45,-837
A -131,-156,1000
G 0.7,-4.2,-0.4
M 66,42,-837
A -130,-156,997
G 0.7,-4.4,-0.4
M 67,48,-831
A -131,-154,1002
G 1.0,-4.2,-0.3
M 64,42,-840
A -130,-155,998
G 0.7,-4.3,-0.4
M 69,42,-838
A -131,-156,998
G 0.7,-4.5,-0.4
M 61,42,-844
A -129,-155,998
G 0.7,-4.4,-0.3
M 61,45,-832
A -130,-155,997
G 0.7,-4.4,-0.4
M 63,49,-838
A -130,-155,996
G 0.7,-4.5,-0.4
M 61,45,-835
A -130,-156,996
G 0.6,-4.6,-0.4
M 55,42,-834
A -130,-156,997
G 0.7,-4.2,-0.4
M 60,36,-837
A -130,-155,1000
G 0.9,-3.9,-0.4
M 54,52,-832
A -131,-156,997
G 0.7,-4.3,-0.4
M 60,42,-831
A -129,-156,998
G 0.7,-4.4,-0.4
M 58,40,-828
A -130,-155,996
G 0.7,-4.4,-0.4
M 69,39,-837
A -129,-156,997
G 0.7,-4.2,-0.3
M 66,46,-837
A -130,-156,999
G 0.9,-4.2,-0.3
M 75,45,-841
A -130,-155,999
G 0.9,-4.1,-0.4
M 61,45,-832
A -132,-155,999
G 0.7,-4.2,-0.4
M 64,39,-837
A -129,-155,997
G 0.7,-4.5,-0.4
M 64,39,-837
A -129,-155,998
G 0.7,-4.6,-0.4
M 60,48,-838
A -129,-157,996
G 0.5,-4.5,-0.4
M 58,52,-844
A -131,-155,996
G 0.7,-4.3,-0.4
M 69,37,-832
A -128,-156,993
G 0.7,-4.8,-0.4
M 60,46,-835
A -126,-157,992
G 0.7,-4.6,-0.3
M 64,36,-826
A -129,-157,997
G 0.6,-3.6,-0.4
M 60,42,-832
A -130,-157,1003
G 1.2,-3.2,-0.3
M 51,36,-834
A -132,-156,1001
G 1.1,-3.0,-0.3
M 66,39,-838
A -133,-154,1001
G 1.3,-3.2,-0.3
M 66,48,-837
A -133,-154,1002
G 0.6,-4.4,-0.4
M 63,49,-832
A -131,-154,1002
G 0.9,-4.4,-0.4
M 64,43,-832
A -130,-156,998
G 0.3,-4.6,-0.4
M 60,37,-835
A -130,-155,998
G 0.7,-4.6,-0.4
