Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
944,925,916,799,,-6,-1,-19,-37,,,,
943,924,916,800,,-7,-2,-19,-36,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,916,800,,-6,-1,-19,-36,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,916,800,,-6,-1,-19,-36,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,916,798,,-6,-1,-19,-38,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,917,798,,-6,-1,-18,-38,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
943,924,916,799,,-7,-2,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,917,799,,-7,-1,-18,-37,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
943,925,917,799,,-7,-1,-18,-37,,,,
943,925,916,800,,-7,-1,-19,-36,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,917,799,,-7,-1,-18,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,916,800,,-7,-1,-19,-36,,,,
943,925,917,799,,-7,-1,-18,-37,,,,
944,925,917,800,,-6,-1,-18,-36,,,,
943,924,917,800,,-7,-2,-18,-36,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
943,925,916,800,,-7,-1,-19,-36,,,,
944,925,917,800,,-6,-1,-18,-36,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
944,925,917,800,,-6,-1,-18,-36,,,,
944,925,917,800,,-6,-1,-18,-36,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,916,801,,-6,-1,-19,-35,,,,
944,925,917,801,,-6,-1,-18,-35,,,,
943,925,917,800,,-7,-1,-18,-36,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
944,925,917,799,,-6,-1,-18,-37,,,,
943,925,916,799,,-7,-1,-19,-37,,,,
944,925,916,799,,-6,-1,-19,-37,,,,
944,925,917,800,,-6,-1,-18,-36,,,,
944,925,917,798,,-6,-1,-18,-38,,,,
943,925,917,805,,-7,-1,-18,-31,,,,
943,925,917,808,,-7,-1,-18,-28,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
943,925,917,808,,-7,-1,-18,-28,,,,
944,925,917,808,,-6,-1,-18,-28,,,,
943,925,917,809,,-7,-1,-18,-27,,,,
943,925,917,809,,-7,-1,-18,-27,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
943,925,917,809,,-7,-1,-18,-27,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,811,,-6,-1,-18,-25,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
943,925,917,809,,-7,-1,-18,-27,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,810,,-6,-1,-18,-26,,,,
944,925,917,809,,-6,-1,-18,-27,,,,
943,925,917,811,,-7,-1,-18,-25,,,,
943,925,917,811,,-7,-1,-18,-25,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
943,925,917,804,,-7,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
944,925,917,804,,-6,-1,-18,-32,,,,
