Interval,10000,usec,,,,,,,,,,
pin0,pin1,pin2,pin3,,,,,,Offsets,,,
948,928,941,840,,-2,2,6,4,,,,
947,928,942,840,,-3,2,7,4,,,,
948,928,941,839,,-2,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,929,941,839,,-3,3,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,929,941,839,,-3,3,6,3,,,,
946,928,941,839,,-4,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,929,940,839,,-3,3,5,3,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,940,839,,-3,2,5,3,,,,
947,929,940,840,,-3,3,5,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,929,940,840,,-3,3,5,4,,,,
948,928,940,839,,-2,2,5,3,,,,
948,928,940,839,,-2,2,5,3,,,,
947,928,940,839,,-3,2,5,3,,,,
948,928,940,839,,-2,2,5,3,,,,
948,928,940,839,,-2,2,5,3,,,,
948,928,940,839,,-2,2,5,3,,,,
947,928,940,839,,-3,2,5,3,,,,
947,928,940,839,,-3,2,5,3,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,929,941,840,,-3,3,6,4,,,,
947,929,941,839,,-3,3,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,929,941,840,,-3,3,6,4,,,,
948,929,941,840,,-2,3,6,4,,,,
947,928,940,840,,-3,2,5,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
947,929,941,840,,-3,3,6,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,940,840,,-3,2,5,4,,,,
948,928,941,840,,-2,2,6,4,,,,
948,929,941,840,,-2,3,6,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,940,839,,-3,2,5,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
948,928,941,840,,-2,2,6,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,942,839,,-3,2,7,3,,,,
948,928,942,840,,-2,2,7,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,942,840,,-3,2,7,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,839,,-3,2,6,3,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,941,840,,-3,2,6,4,,,,
947,928,939,840,,-3,2,4,4,,,,
